Prueba,Eje x,Eje y,Eje z
0,-11.05,8.85,-3.05
1,21.18,-172.67,-10.31
2,20.69,-182.37,-9.52
3,2.08,-87.71,-0.98
4,-11.78,-85.75,7.69
5,-19.65,-102.6,14.4
6,-20.02,-107.91,13.79
7,-7.14,-111.27,4.39
8,16.85,-112.43,-8.24
9,45.1,-110.66,-18.19
10,61.22,-106.02,-22.28
11,57.19,-94.48,-18.43
12,44.25,-79.96,-9.83
13,26.98,-68.05,-2.2
14,7.02,-58.78,2.2
15,-8.54,-52.43,2.81
16,-22.58,-50.66,-1.77
17,-42.66,-54.14,-10.13
18,-63.29,-59.27,-21.12
19,-80.93,-63.05,-32.96
20,-90.15,-65.06,-45.1
21,-81.6,-68.6,-53.77
22,-81.91,-68.36,-56.03
23,-80.63,-63.96,-49.5
24,-56.4,-56.64,-35.52
25,-32.35,-48.28,-24.05
26,-25.7,-39.18,-19.04
27,-14.47,-33.69,-18.86
28,-0.98,-35.77,-24.54
29,-0.43,-40.83,-35.95
30,-12.94,-45.1,-48.89
31,-29.85,-47.55,-58.41
32,-37.05,-49.5,-63.54
33,-35.34,-50.42,-64.76
34,-45.23,-44.8,-64.64
35,-66.89,-36.01,-62.44
36,-86.79,-28.08,-61.1
37,-102.6,-22.52,-61.4
38,-107.24,-21.3,-62.13
39,-108.34,-25.27,-65.19
40,-102.05,-32.04,-71.66
41,-87.52,-38.76,-76.11
42,-71.96,-41.32,-75.87
43,-79.65,-37.23,-71.35
44,-102.72,-32.9,-70.92
45,-115.66,-27.77,-77.88
46,-109.92,-23.99,-88.01
47,-101.44,-21.48,-96.01
48,-97.72,-18.92,-104.13
49,-100.59,-16.36,-111.57
50,-106.45,-13.24,-115.05
51,-109.99,-9.58,-116.21
52,-113.22,-4.82,-117.55
53,-116.27,1.34,-121.58
54,-115.3,6.59,-128.78
55,-111.63,7.26,-136.9
56,-104.55,6.59,-143.19
57,-91.55,6.53,-146.18
58,-84.17,7.14,-146.18
59,-88.32,10.25,-144.84
60,-91.92,14.65,-143.49
61,-93.99,17.94,-141.6
62,-92.83,20.39,-140.87
63,-90.21,23.8,-142.4
64,-87.28,27.34,-145.39
65,-82.28,29.6,-149.29
66,-70.92,29.3,-153.14
67,-57.74,26.43,-155.64
68,-47.97,23.38,-155.7
69,-41.02,21.97,-155.15
70,-32.53,21.91,-156.74
71,-24.72,22.09,-159.24
72,-18.13,22.89,-159.97
73,-11.05,24.35,-158.2
74,-10.31,26.43,-152.22
75,-5.98,28.87,-145.32
76,5.98,29.66,-141.78
77,16.97,28.63,-140.2
78,23.99,25.76,-137.15
79,27.04,23.13,-131.71
80,21.48,22.34,-124.69
81,8.79,21.67,-118.23
82,0.92,18.01,-113.83
83,1.04,8.24,-107.48
84,3.05,-0.37,-100.71
85,6.59,-5.55,-95.83
86,15.5,-6.23,-90.76
87,33.2,-4.76,-83.56
88,43.46,-3.66,-76.17
89,45.72,-1.22,-69.58
90,47.49,2.26,-62.68
91,51.57,4.15,-54.5
92,54.08,3.85,-47.12
93,54.99,2.14,-41.38
94,52.55,-1.83,-37.35
95,50.42,-6.9,-35.71
96,54.14,-11.84,-34.3
97,56.03,-15.75,-29.91
98,53.28,-20.39,-24.72
99,56.95,-26.18,-20.75
100,65.31,-28.44,-16.72
101,70.07,-24.72,-9.7
102,75.13,-19.35,-1.83
103,84.72,-15.32,7.45
104,96.01,-12.15,15.69
105,99.0,-7.81,23.13
106,90.45,-4.52,30.03
107,88.44,-4.33,35.77
108,98.14,-7.2,38.88
109,104.31,-10.8,40.53
110,100.4,-13.67,41.69
111,96.92,-13.18,44.25
