Prueba,Eje x,Eje y,Eje z
0,-10.31,10.07,-3.54
1,19.9,-160.34,-12.51
2,16.48,-177.86,-24.41
3,-24.6,-22.22,-68.48
4,-46.2,15.08,-94.91
5,-48.71,12.88,-104.98
6,-47.24,13.61,-105.53
7,-43.88,13.73,-105.59
8,-38.57,12.39,-106.87
9,-31.92,8.12,-107.67
10,-33.08,3.66,-105.41
11,-39.37,-0.73,-101.87
12,-32.53,-5.19,-102.48
13,-14.04,-9.64,-107.24
14,-0.18,-14.22,-113.22
15,6.84,-17.64,-117.8
16,8.79,-19.78,-119.26
17,-10.56,-18.68,-115.23
18,-41.32,-17.27,-105.9
19,-69.4,-16.42,-95.28
20,-91.37,-17.88,-88.38
21,-96.37,-22.16,-88.32
22,-87.77,-28.32,-94.06
23,-78.8,-35.52,-100.28
24,-76.72,-40.47,-101.62
25,-77.15,-40.95,-97.84
26,-70.01,-39.49,-94.42
27,-59.81,-40.47,-95.7
28,-61.83,-45.53,-101.68
29,-83.01,-49.68,-103.03
30,-103.03,-48.52,-95.03
31,-109.25,-43.82,-88.56
32,-105.29,-40.47,-90.15
33,-99.55,-39.0,-95.28
34,-96.31,-39.25,-99.61
35,-94.85,-41.99,-99.85
36,-92.71,-46.69,-97.41
37,-93.75,-48.52,-92.22
38,-101.75,-23.19,-90.58
39,-87.46,-4.03,-92.29
40,-66.28,-6.53,-88.01
41,-51.45,-12.76,-89.6
42,-39.67,-17.82,-94.97
43,-31.68,-19.65,-93.44
44,-27.04,-19.96,-89.78
45,-26.73,-21.79,-85.69
46,-38.82,-24.66,-79.96
47,-57.13,-31.92,-79.04
48,-65.73,-42.18,-85.33
49,-70.68,-46.69,-88.5
50,-77.51,-47.97,-90.82
51,-79.16,-50.11,-97.47
52,-75.68,-53.59,-106.2
53,-60.12,-54.5,-112.85
54,-40.77,-52.43,-115.66
55,-32.65,-49.74,-115.97
56,-37.41,-45.1,-112.43
57,-47.0,-33.94,-101.62
58,-48.71,-20.63,-90.58
59,-47.79,-15.56,-88.62
60,-45.41,-18.98,-92.1
61,-37.6,-23.68,-96.74
62,-22.22,-23.44,-104.49
63,-10.8,-21.85,-110.6
64,-7.45,-35.1,-109.92
65,-12.76,-40.77,-112.55
66,-25.39,-45.35,-109.74
67,-47.73,-48.95,-94.73
68,-70.43,-43.95,-86.06
69,-77.64,-42.18,-90.76
70,-73.73,-44.86,-92.35
71,-70.43,-48.77,-90.45
72,-65.0,-51.57,-91.98
73,-46.88,-49.8,-94.06
74,-30.94,-42.11,-93.26
75,-21.61,-35.46,-89.97
76,-11.11,-37.48,-84.59
77,0.92,-33.39,-88.07
78,19.1,-20.51,-99.12
79,20.57,-8.18,-105.77
80,3.17,-10.99,-102.97
